@relation hair_colour

@attribute hue REAL
@attribute saturation REAL
@attribute lightness REAL
@attribute class {Ash, Red, Black, Brown, Blonde}

@data
0.052687965, 0.2636278, 0.5659268, Ash
0.066993736, 0.4374098, 0.81643176, Ash
0.052687965, 0.2636278, 0.5659268, Ash
0.07516538, 0.3766473, 0.39611366, Ash
0.06172839, 0.23668389, 0.4473781, Ash
0.052431654, 0.27680826, 0.47437397, Ash
0.077079155, 0.2553517, 0.51962686, Ash
0.07512084, 0.49552366, 0.3527169, Ash
0.020583827, 0.24517071, 0.6518139, Ash
0.041666675, 0.1760073, 0.89123374, Ash
0.002377444, 0.10930399, 0.6778618, Ash
0.025772307, 0.34902292, 0.54998475, Ash
0.032046944, 0.27634627, 0.6168861, Ash
0.052235804, 0.41788477, 0.37639272, Ash
0.048260134, 0.18684854, 0.9108025, Ash
0.08103208, 0.44340497, 0.64705455, Ash
0.0667019, 0.27338096, 0.6311519, Ash
0.06363699, 0.419239, 0.7766798, Ash
0.04942103, 0.75825894, 0.5563019, Ash
0.05668446, 0.6972501, 0.4982429, Ash
0.051703617, 0.29171306, 0.85957503, Red
0.058215328, 0.6541416, 0.5443943, Red
0.05945631, 0.30540994, 0.8613685, Red
0.06356101, 0.6512143, 0.534357, Red
0.04997639, 0.67211586, 0.41919443, Red
0.055460252, 0.664643, 0.50279003, Red
0.05676863, 0.6338674, 0.55338866, Red
0.05577663, 0.28614473, 0.8868373, Black
0.72358364, 0.32804582, 0.074852444, Black
0.07011232, 0.69764286, 0.041425105, Black
0.06171841, 0.37251464, 0.8006182, Black
0.6169563, 0.2285213, 0.1779563, Black
0.08103584, 0.3147393, 0.097746246, Black
0.5709192, 0.45402157, 0.2700673, Black
0.04644694, 0.3103738, 0.117691115, Black
0.6169563, 0.2285213, 0.1779563, Black
0.05378132, 0.31588373, 0.41958165, Black
0.057544474, 0.47714013, 0.7744696, Black
0.6041667, 0.1479897, 0.2119954, Black
0.06551712, 0.37023553, 0.86207163, Black
0.6666666, 0.09991169, 0.07863094, Black
0.064085014, 0.26315415, 0.9685699, Black
0.059011105, 0.5113086, 0.65717953, Brown
0.05941415, 0.6888206, 0.14913863, Brown
0.04648601, 0.6693082, 0.2583451, Brown
0.070357054, 0.63170075, 0.3925072, Brown
0.06577685, 0.468392, 0.3902852, Brown
0.059643384, 0.45106965, 0.32390213, Brown
0.058862522, 0.22942944, 0.24022563, Brown
0.035273448, 0.7391167, 0.113938935, Brown
0.07825569, 0.40010512, 0.39362788, Brown
0.059643384, 0.45106965, 0.32390213, Brown
0.07692307, 0.22751419, 0.22411864, Brown
0.11538461, 0.26513827, 0.19236185, Brown
0.06386941, 0.6543504, 0.28206125, Brown
0.08098847, 0.35438642, 0.36455533, Brown
0.0642335, 0.53478986, 0.34112808, Brown
0.070357054, 0.63170075, 0.3925072, Brown
0.07139093, 0.40380564, 0.77030003, Blonde
0.07423737, 0.39551282, 0.7749065, Blonde
0.09121371, 0.38834646, 0.78311026, Blonde
0.06970287, 0.67859966, 0.6448912, Blonde
0.083381236, 0.58708537, 0.52036774, Blonde
0.094547786, 0.2584994, 0.7252461, Blonde
0.06810443, 0.56912553, 0.778006, Blonde
0.06607713, 0.33605328, 0.9000293, Blonde
0.080846734, 0.57869107, 0.7184821, Blonde
0.07385481, 0.3922828, 0.78625363, Blonde
0.058318138, 0.383277, 0.67596453, Blonde
0.06271711, 0.3845477, 0.9165812, Blonde
0.07833016, 0.2628, 0.77919525, Blonde
0.09654875, 0.33929807, 0.79549646, Blonde
0.073796265, 0.28083348, 0.85093623, Blonde
0.07911215, 0.12497409, 0.88307923, Blonde
0.060606066, 0.27747235, 0.93279237, Blonde
0.06774402, 0.28017825, 0.76726776, Blonde
0.05649723, 0.42763457, 0.78762573, Blonde
0.06123059, 0.37198478, 0.6976713, Blonde
0.082894884, 0.41330606, 0.80268437, Blonde
0.06123059, 0.37198478, 0.6976713, Blonde
0.0944609, 0.15318735, 0.92891437, Blonde
0.076131694, 0.38576418, 0.82342345, Blonde
0.05816557, 0.83550596, 0.6187067, Red
0.07002013, 0.6017021, 0.80970466, Red
0.061965443, 0.37511358, 0.8826735, Red
0.042073507, 0.3403206, 0.91364753, Red
0.061459314, 0.72775286, 0.6197421, Red
0.05932203, 0.2661987, 0.86917645, Red
0.07638238, 0.70523715, 0.7158358, Red
0.070321165, 0.56560445, 0.66814435, Red
0.061544437, 0.76137966, 0.5387359, Red
0.050075646, 0.575799, 0.5754649, Red
0.06960178, 0.76724833, 0.77823395, Red
0.09319829, 0.56872445, 0.6356761, Red
0.054920133, 0.5227082, 0.7776902, Red
0.051993355, 0.28183734, 0.8110678, Red
0.07356845, 0.28665078, 0.9565331, Red
0.0623913, 0.74847394, 0.54554176, Red
0.06050996, 0.42470002, 0.91197026, Red
0.074258246, 0.6313673, 0.7343538, Red
