@relation eye_colour

@attribute hue REAL
@attribute saturation REAL
@attribute lightness REAL
@attribute class {Blue, Brown, Green}

@data
0.58198184, 0.48295924, 0.37785822,Blue
0.56627554, 0.56002015, 0.6232834,Blue
0.5665902, 0.43068922, 0.56426364,Blue
0.5600168, 0.52003884, 0.39395943,Blue
0.521291, 0.36868864, 0.40952554,Blue
0.57486284, 0.06781439, 0.4919891,Blue
0.59468305, 0.37586072, 0.39332265,Blue
0.5576124, 0.27458137, 0.41693422,Blue
0.55692536, 0.2083762, 0.40198597,Blue
0.55942744, 0.08134245, 0.37555084,Blue
0.5322459, 0.12413087, 0.44555834,Blue
0.09783274, 0.34343866, 0.5533753,Brown
0.069676965, 0.6441226, 0.42769197,Brown
0.0636934, 0.8378534, 0.42510733,Brown
0.04430554, 0.7583977, 0.27428573,Brown
0.044082444, 0.49437097, 0.20145711,Brown
0.028894903, 0.22039342, 0.32551822,Brown
0.044547178, 0.84288484, 0.395248,Brown
0.04995051, 0.6935119, 0.4244096,Brown
0.08909337, 0.19952855, 0.22126806,Brown
0.054230385, 0.70056254, 0.2546931,Brown
0.05483632, 0.5203083, 0.42389393,Brown
0.0637919, 0.6950253, 0.2988382,Brown
0.09738514, 0.48420602, 0.34456253,Brown
0.09960706, 0.14952178, 0.55792964,Green
0.24764094, 0.25148687, 0.39637414,Green
0.53886133, 0.13757811, 0.30924505,Green
0.13386372, 0.12846293, 0.45762753,Green
0.25642678, 0.21490104, 0.29639482,Green
